You are now connected to database "nc_knews_dev" as user "robfairclough".
   slug   |               description               
----------+-----------------------------------------
 coding   | Code is love, code is life
 football | FOOTIE!
 cooking  | Hey good looking, what you got cooking?
(3 rows)

   username   |                                                        avatar_url                                                        |    name     
--------------+--------------------------------------------------------------------------------------------------------------------------+-------------
 tickle122    | https://www.spiritsurfers.net/monastery/wp-content/uploads/_41500270_mrtickle.jpg                                        | Tom Tickle
 grumpy19     | https://www.tumbit.com/profile-image/4/original/mr-grumpy.jpg                                                            | Paul Grump
 happyamy2016 | https://vignette1.wikia.nocookie.net/mrmen/images/7/7f/Mr_Happy.jpg/revision/latest?cb=20140102171729                    | Amy Happy
 cooljmessy   | https://i.imgur.com/WfX0Neu.jpg                                                                                          | Peter Messy
 weegembump   | https://www.upandrunning.co.uk/media/catalog/product/cache/1/image/650x/040ec09b1e35df139433887a97daa66f/m/r/mr-bump.jpg | Gemma Bump
 jessjelly    | https://s-media-cache-ak0.pinimg.com/564x/39/62/ec/3962eca164e60cf46f979c1f57d4078b.jpg                                  | Jess Jelly
(6 rows)

 article_id | comment_id |   username   | created_at 
------------+------------+--------------+------------
         18 |          1 | tickle122    | 2016-07-09
          4 |          2 | grumpy19     | 2016-11-10
          3 |          3 | grumpy19     | 2017-08-31
         18 |          4 | happyamy2016 | 2016-07-05
         17 |          5 | weegembump   | 2017-05-31
         35 |          6 | grumpy19     | 2016-07-25
         17 |          7 | tickle122    | 2016-07-11
         26 |          8 | tickle122    | 2016-02-12
         19 |          9 | cooljmessy   | 2016-08-28
         27 |         10 | weegembump   | 2016-10-16
         23 |         11 | happyamy2016 | 2017-07-27
         11 |         12 | happyamy2016 | 2017-06-10
         16 |         13 | happyamy2016 | 2016-03-07
          4 |         14 | weegembump   | 2017-02-17
         13 |         15 | jessjelly    | 2016-05-16
         30 |         16 | happyamy2016 | 2017-01-21
         17 |         17 | weegembump   | 2018-01-10
          5 |         18 | jessjelly    | 2017-06-09
         28 |         19 | tickle122    | 2017-04-28
         13 |         20 | happyamy2016 | 2017-08-06
          6 |         21 | tickle122    | 2016-08-07
         27 |         22 | cooljmessy   | 2016-07-25
         10 |         23 | cooljmessy   | 2017-07-14
         31 |         24 | weegembump   | 2017-07-05
         20 |         25 | grumpy19     | 2017-04-13
         16 |         26 | grumpy19     | 2017-04-29
         31 |         27 | happyamy2016 | 2017-07-03
          3 |         28 | grumpy19     | 2016-07-30
         36 |         29 | jessjelly    | 2016-07-06
         15 |         30 | jessjelly    | 2018-01-17
          1 |         31 | weegembump   | 2016-02-01
         26 |         32 | happyamy2016 | 2017-07-31
          1 |         33 | cooljmessy   | 2016-05-13
         27 |         34 | jessjelly    | 2017-06-03
         19 |         35 | happyamy2016 | 2017-05-31
         28 |         36 | jessjelly    | 2017-04-30
         23 |         37 | tickle122    | 2017-10-04
          8 |         38 | jessjelly    | 2018-01-24
         31 |         39 | grumpy19     | 2017-03-13
          7 |         40 | tickle122    | 2016-10-16
         29 |         41 | happyamy2016 | 2017-03-01
         31 |         42 | jessjelly    | 2016-01-22
          8 |         43 | grumpy19     | 2016-02-09
          1 |         44 | grumpy19     | 2017-11-20
          9 |         45 | cooljmessy   | 2017-11-15
         26 |         46 | weegembump   | 2017-10-17
         10 |         47 | happyamy2016 | 2016-02-09
         34 |         48 | jessjelly    | 2016-12-06
         31 |         49 | cooljmessy   | 2017-02-09
         34 |         50 | cooljmessy   | 2017-11-12
          3 |         51 | grumpy19     | 2016-11-14
          1 |         52 | jessjelly    | 2017-07-31
         29 |         53 | happyamy2016 | 2017-08-12
         34 |         54 | grumpy19     | 2016-07-17
          6 |         55 | jessjelly    | 2017-12-26
         10 |         56 | weegembump   | 2016-12-05
         34 |         57 | happyamy2016 | 2017-12-21
         16 |         58 | jessjelly    | 2016-10-06
         32 |         59 | cooljmessy   | 2016-08-17
          7 |         60 | tickle122    | 2017-05-23
         31 |         61 | cooljmessy   | 2016-05-21
         19 |         62 | grumpy19     | 2016-06-15
          2 |         63 | jessjelly    | 2016-07-16
          6 |         64 | grumpy19     | 2017-02-12
          6 |         65 | weegembump   | 2017-06-07
         27 |         66 | weegembump   | 2017-09-28
         27 |         67 | jessjelly    | 2016-09-04
         20 |         68 | cooljmessy   | 2016-09-24
         23 |         69 | tickle122    | 2017-06-12
          4 |         70 | grumpy19     | 2018-01-29
         30 |         71 | cooljmessy   | 2017-07-21
         31 |         72 | jessjelly    | 2016-11-05
          4 |         73 | grumpy19     | 2016-02-12
          6 |         74 | cooljmessy   | 2017-05-15
         35 |         75 | jessjelly    | 2017-12-04
         10 |         76 | grumpy19     | 2016-07-16
          8 |         77 | tickle122    | 2017-04-15
         35 |         78 | happyamy2016 | 2017-11-10
         20 |         79 | grumpy19     | 2016-05-10
         31 |         80 | cooljmessy   | 2016-05-05
          7 |         81 | weegembump   | 2017-11-16
         11 |         82 | happyamy2016 | 2017-03-20
         24 |         83 | weegembump   | 2017-08-21
         13 |         84 | grumpy19     | 2017-06-21
          1 |         85 | happyamy2016 | 2016-06-18
          1 |         86 | tickle122    | 2016-09-11
         26 |         87 | grumpy19     | 2016-03-24
          5 |         88 | weegembump   | 2017-01-17
          1 |         89 | cooljmessy   | 2016-09-05
         36 |         90 | jessjelly    | 2016-09-17
         26 |         91 | happyamy2016 | 2017-09-16
          9 |         92 | cooljmessy   | 2016-01-05
         36 |         93 | cooljmessy   | 2016-03-26
         29 |         94 | weegembump   | 2016-10-31
         21 |         95 | grumpy19     | 2016-05-05
         23 |         96 | weegembump   | 2016-09-14
         35 |         97 | weegembump   | 2018-01-08
         17 |         98 | grumpy19     | 2016-08-08
         19 |         99 | happyamy2016 | 2017-03-17
         29 |        100 | weegembump   | 2017-09-09
         35 |        101 | grumpy19     | 2016-08-16
          2 |        102 | jessjelly    | 2018-01-26
          6 |        103 | grumpy19     | 2017-04-10
         14 |        104 | grumpy19     | 2017-05-06
         19 |        105 | happyamy2016 | 2016-01-28
         32 |        106 | jessjelly    | 2016-01-17
         29 |        107 | jessjelly    | 2017-05-10
         17 |        108 | grumpy19     | 2016-11-25
         29 |        109 | happyamy2016 | 2016-04-13
          8 |        110 | weegembump   | 2017-01-04
         16 |        111 | tickle122    | 2017-06-01
          3 |        112 | grumpy19     | 2016-06-13
         23 |        113 | cooljmessy   | 2018-01-10
         34 |        114 | tickle122    | 2017-09-25
         33 |        115 | happyamy2016 | 2018-01-19
          5 |        116 | weegembump   | 2017-10-18
         35 |        117 | weegembump   | 2016-07-30
         29 |        118 | happyamy2016 | 2017-09-26
         14 |        119 | grumpy19     | 2017-04-10
         18 |        120 | cooljmessy   | 2016-11-26
         35 |        121 | cooljmessy   | 2017-03-12
         10 |        122 | cooljmessy   | 2017-02-20
         21 |        123 | cooljmessy   | 2016-08-11
         34 |        124 | grumpy19     | 2017-07-28
         15 |        125 | jessjelly    | 2017-08-15
         27 |        126 | grumpy19     | 2016-02-25
         30 |        127 | jessjelly    | 2016-05-03
         17 |        128 | cooljmessy   | 2016-05-02
          6 |        129 | cooljmessy   | 2016-10-20
         34 |        130 | jessjelly    | 2018-01-12
         36 |        131 | cooljmessy   | 2016-11-23
          7 |        132 | cooljmessy   | 2016-06-09
         27 |        133 | weegembump   | 2017-01-23
          2 |        134 | jessjelly    | 2017-08-21
         27 |        135 | happyamy2016 | 2017-05-14
         22 |        136 | weegembump   | 2017-08-23
         26 |        137 | happyamy2016 | 2017-04-27
         31 |        138 | tickle122    | 2016-12-21
         32 |        139 | cooljmessy   | 2016-01-28
         23 |        140 | tickle122    | 2016-03-09
          7 |        141 | cooljmessy   | 2016-01-05
          3 |        142 | tickle122    | 2016-09-16
         29 |        143 | tickle122    | 2017-02-21
          5 |        144 | grumpy19     | 2016-06-22
          3 |        145 | jessjelly    | 2017-02-06
          4 |        146 | jessjelly    | 2018-01-03
         27 |        147 | weegembump   | 2017-04-01
         21 |        148 | cooljmessy   | 2017-12-10
          5 |        149 | grumpy19     | 2016-05-08
          9 |        150 | tickle122    | 2016-05-12
         34 |        151 | jessjelly    | 2016-01-25
          2 |        152 | grumpy19     | 2016-12-05
          7 |        153 | cooljmessy   | 2017-02-11
         33 |        154 | cooljmessy   | 2016-02-29
         19 |        155 | cooljmessy   | 2017-12-29
         27 |        156 | happyamy2016 | 2016-03-08
         26 |        157 | happyamy2016 | 2017-04-06
         22 |        158 | happyamy2016 | 2016-08-17
         35 |        159 | cooljmessy   | 2016-03-02
         35 |        160 | jessjelly    | 2016-06-25
         11 |        161 | weegembump   | 2016-11-22
          2 |        162 | grumpy19     | 2017-04-04
         13 |        163 | grumpy19     | 2016-08-16
         24 |        164 | cooljmessy   | 2017-10-31
         27 |        165 | happyamy2016 | 2017-02-28
         23 |        166 | cooljmessy   | 2016-09-06
          3 |        167 | grumpy19     | 2017-06-25
         35 |        168 | grumpy19     | 2016-05-30
         12 |        169 | happyamy2016 | 2017-01-31
         17 |        170 | weegembump   | 2016-06-30
         30 |        171 | weegembump   | 2016-12-10
         16 |        172 | weegembump   | 2016-08-23
         15 |        173 | tickle122    | 2018-02-01
